date,sleep_hours,steps,hrv_ms,resting_hr
2024-11-08,7.8,10200,68,59
2024-11-09,8.0,11500,70,58
2024-11-10,7.9,10800,69,58
2024-11-11,8.1,11200,71,57
2024-11-12,7.7,10500,68,59
2024-11-13,8.0,11000,70,58
2024-11-14,7.9,10900,69,58
2024-11-15,7.2,8900,62,62
2024-11-16,6.8,8200,58,64
2024-11-17,7.0,8600,60,63
2024-11-18,6.9,8400,59,63
2024-11-19,7.1,8800,61,62
2024-11-20,6.7,8100,57,65
2024-11-21,7.0,8500,60,63
2024-11-22,6.2,6400,51,68
2024-11-23,5.9,5800,48,70
2024-11-24,6.0,6100,49,69
2024-11-25,5.8,5600,47,71
2024-11-26,6.1,6300,50,68
2024-11-27,5.7,5500,46,72
2024-11-28,6.0,6000,49,69
2024-11-29,5.8,5700,48,70
2024-11-30,6.2,6200,51,68
2024-12-01,5.9,5900,48,70
2024-12-02,6.1,6100,50,69
2024-12-03,5.8,5800,47,71
2024-12-04,6.0,6000,49,69
2024-12-05,5.9,5900,48,70

