date,sleep_hours,steps,hrv_ms,resting_hr
2024-11-15,7.8,11200,72,56
2024-11-16,8.2,9800,68,58
2024-11-17,7.5,12400,75,54
2024-11-18,8.0,10500,70,57
2024-11-19,7.9,11800,73,55
2024-11-20,8.1,9200,69,59
2024-11-21,7.6,13100,74,56
2024-11-22,8.3,10200,71,58
2024-11-23,7.7,11500,72,57
2024-11-24,8.0,9900,70,56
2024-11-25,7.8,12000,73,55
2024-11-26,8.2,10800,75,54
2024-11-27,7.9,11200,71,58
2024-11-28,8.1,9500,72,57
2024-11-29,7.7,13500,74,56
2024-11-30,8.0,10600,70,58
2024-12-01,7.9,11900,73,55
2024-12-02,8.2,10200,72,57
2024-12-03,7.8,12300,71,56
2024-12-04,8.0,11000,73,55
2024-12-05,7.9,10800,72,57

